[4.000, Explore]
[0.000, Explore]
[5.000, Explore]
[1.000, Explore]
[2.000, Explore]
[0.000, Explore]
[7.000, Explore]
[0.000, Explore]
[3.000, Explore]
[6.000, Explore]
[2.000, Explore]
[0.000, Explore]
[2.000, Explore]
[3.000, Explore]
[4.000, Explore]
[1.000, Explore]
[1.000, Explore]
[0.000, Explore]
[4.000, Explore]
[2.000, Explore]
[4.000, Explore]
[2.000, Explore]
[2.000, Explore]
[1.000, Explore]
[9.000, Explore]
[3.000, Explore]
[4.000, Explore]
[5.000, Explore]
[0.000, Explore]
[0.000, Explore]
[10.000, Explore]
[1.000, Explore]
[1.000, Exploit]
[6.000, Explore]
[1.000, Exploit]
[5.000, Explore]
[4.000, Explore]
[2.000, Explore]
[2.000, Explore]
[4.000, Exploit]
[1.000, Exploit]
[1.000, Explore]
[1.000, Explore]
[2.000, Explore]
[4.000, Explore]
[6.000, Explore]
[1.000, Explore]
[2.000, Explore]
[6.000, Explore]
[0.000, Explore]
[3.000, Explore]
[6.000, Explore]
[4.000, Explore]
[2.000, Explore]
[5.000, Explore]
[7.000, Explore]
[0.000, Explore]
[6.000, Explore]
[0.000, Explore]
[0.000, Explore]
[5.000, Explore]
[1.000, Explore]
[3.000, Explore]
[1.000, Explore]
[1.000, Explore]
[2.000, Exploit]
[2.000, Explore]
[4.000, Explore]
[2.000, Explore]
[7.000, Explore]
[1.000, Explore]
[1.000, Explore]
[5.000, Exploit]
[12.000, Explore]
[0.000, Explore]
[3.000, Explore]
[2.000, Explore]
[0.000, Explore]
[2.000, Explore]
[2.000, Explore]
[0.000, Explore]
[4.000, Explore]
[2.000, Explore]
[3.000, Explore]
[2.000, Explore]
[1.000, Exploit]
[2.000, Explore]
[2.000, Explore]
[3.000, Exploit]
[1.000, Exploit]
[6.000, Explore]
[1.000, Explore]
[5.000, Explore]
[3.000, Exploit]
[1.000, Explore]
[0.000, Explore]
[4.000, Explore]
[3.000, Exploit]
[1.000, Explore]
[2.000, Explore]
[0.000, Explore]
